# EcoRegistru — nomenclator coduri deșeuri (Lista Europeană a Deșeurilor)
#
# Sursă: Decizia 2014/955/UE (versiunea RO), EUR-Lex CELEX 32014D0955
#   https://eur-lex.europa.eu/legal-content/RO/TXT/HTML/?uri=CELEX:32014D0955
#   accesat: 22.08.2026. Se aplică de la 1 iunie 2015; înlocuiește lista din
#   Decizia 2000/532/CE. NU se folosește anexa 2 la HG 856/2002 (versiunea 2002/2007,
#   iar copiile în circulație au erori de transcriere — vezi docs/surse-oficiale.md).
#   Amprentă: 842 coduri, din care 408 periculoase.
#
# GENERAT — nu edita manual. Regenerare: python scripts/generate_waste_codes.py
# Validat de script și de testul WasteCodeSeedTest (unicitate, format, capitol,
# subcapitol, amprenta pe capitole).
#
# Format: code,name,hazardous
#   code      = 6 cifre formatate "NN NN NN" (FĂRĂ asteriscul de periculozitate)
#   name      = denumirea oficială în română, verbatim; poate conține virgule, deci
#               la citire: codul e până la prima virgulă, hazardous după ultima
#   hazardous = true dacă în LED codul e marcat cu '*' (deșeu periculos), altfel false
#
# Titlurile de capitol (# ==) și de subcapitol (# --)
# păstrează structura listei oficiale: fiecare cod trebuie să stea sub capitolul și
# subcapitolul date de propriile lui cifre. Sunt comentarii — seed-ul le ignoră.

# -- 02 04 deșeuri rezultate din prelucrarea zahărului
02 04 01,pământ rezultat din curățarea și spălarea sfeclei de zahăr,false
02 04 02,carbonat de calciu fără altă specificație,false
02 04 03,nămoluri de la epurarea efluenților în incintă,false
02 04 99,deșeuri nespecificate,false
# -- 02 05 deșeuri provenite din industria produselor lactate
02 05 01,materii care sunt improprii pentru consum ori procesare,false
02 05 02,nămoluri de la epurarea efluenților în incintă,false
02 05 99,deșeuri nespecificate,false
# -- 02 06 deșeuri provenite din industria de panificație, patiserie și cofetărie
02 06 01,materii care sunt improprii pentru consum ori procesare,false
02 06 02,deșeuri de agenți de conservare,false
02 06 03,nămoluri de la epurarea efluenților în incintă,false
02 06 99,deșeuri nespecificate,false
# -- 02 07 deșeuri rezultate din producția de băuturi alcoolice și nealcoolice (cu excepția cafelei, a ceaiului și a pudrei de cacao)
02 07 01,deșeuri de la spălarea, curățarea și prelucrarea mecanică a materiei prime,false
02 07 02,deșeuri de la distilarea băuturilor alcoolice,false
02 07 03,deșeuri de la tratamente chimice,false
02 07 04,materii care sunt improprii pentru consum ori procesare,false
02 07 05,nămoluri de la epurarea efluenților în incintă,false
02 07 99,deșeuri nespecificate,false

# == 03 DEȘEURI REZULTATE DIN PRELUCRAREA LEMNULUI ȘI FABRICAREA DE PANOURI ȘI MOBILĂ, CELULOZĂ, HÂRTIE ȘI CARTON
# -- 03 01 deșeuri rezultate din prelucrarea lemnului și din fabricarea panourilor și a mobilei
03 01 01,deșeuri de scoarță și de plută,false
03 01 04,rumeguș, așchii, resturi, lemn, plăci din așchii de lemn și furnir cu conținut de substanțe periculoase,true
03 01 05,rumeguș, talaș, așchii, resturi de placă aglomerată din lemn și furnir, altele decât cele specificate la 03 01 04,false
03 01 99,deșeuri nespecificate,false
# -- 03 02 deșeuri rezultate din produsele de protecție a lemnului
03 02 01,agenți de conservare organici nehalogenați pentru lemn,true
03 02 02,agenți de conservare organoclorurați pentru lemn,true
03 02 03,agenți de conservare organometalici pentru lemn,true
03 02 04,agenți de conservare anorganici pentru lemn,true
03 02 05,alți agenți de conservare pentru lemn cu conținut de substanțe periculoase,true
03 02 99,alți agenți de conservare pentru lemn nespecificați,false
# -- 03 03 deșeuri rezultate din fabricarea și prelucrarea hârtiei, a cartonului și a pastei de hârtie
03 03 01,deșeuri de scoarță și de lemn,false
03 03 02,nămoluri de leșie verde (de la recuperarea soluțiilor de fierbere),false
03 03 05,nămoluri de la eliminarea cernelii din procesul de reciclare a hârtiei,false
03 03 07,deșeuri mecanice de la fierberea hârtiei și cartonului reciclate,false
03 03 08,deșeuri de la sortarea hârtiei și cartonului destinate reciclării,false
03 03 09,deșeuri de nămol de caustificare,false
03 03 10,rebuturi de fibre, nămoluri de fibre, materiale de etanșare și de acoperire rezultate din separare mecanică,false
03 03 11,nămoluri de la epurarea efluenților în incintă, altele decât cele specificate la 03 03 10,false
03 03 99,deșeuri nespecificate,false

# == 04 DEȘEURI PROVENITE DIN INDUSTRIA PIELĂRIEI, A BLĂNĂRIEI ȘI DIN INDUSTRIA TEXTILĂ
# -- 04 01 deșeuri provenite din industria pielăriei și a blănăriei
04 01 01,deșeuri de la șeruire,false
04 01 02,deșeuri de la cenușărit,false
04 01 03,deșeuri de la degresare cu conținut de solvenți fără fază lichidă,true
04 01 04,flotă de tăbăcire cu conținut de crom,false
04 01 05,flotă de tăbăcire fără crom,false
04 01 06,nămoluri, în special de la epurarea efluenților în incintă cu conținut de crom,false
04 01 07,nămoluri, în special de la epurarea efluenților în incintă fără crom,false
04 01 08,deșeuri de piele tăbăcită (ștuțuri, răzături, tăieturi, praf de lustruit) cu conținut de crom,false
04 01 09,deșeuri de la apretare și finisare,false
04 01 99,deșeuri nespecificate,false
# -- 04 02 deșeuri din industria textilă
04 02 09,deșeuri de la materialele compozite (textile impregnate, elastomeri, plastomeri),false
04 02 10,materii organice provenite din produse naturale (de exemplu, grăsime, ceară),false
04 02 14,deșeuri de la finisare, cu conținut de solvenți organici,true
04 02 15,deșeuri de la finisare, altele decât cele specificate la 04 02 14,false
04 02 16,coloranți și pigmenți cu conținut de substanțe periculoase,true
04 02 17,coloranți și pigmenți, alții decât cei specificați la 04 02 16,false
04 02 19,nămoluri de la epurarea efluenților în incintă, cu conținut de substanțe periculoase,true
04 02 20,nămoluri de la epurarea efluenților în incintă, altele decât cele specificate la 04 02 19,false
04 02 21,deșeuri de fibre textile neprocesate,false
04 02 22,deșeuri de fibre textile procesate,false
04 02 99,deșeuri nespecificate,false

# == 05 DEȘEURI REZULTATE DIN RAFINAREA PETROLULUI, PURIFICAREA GAZULUI NATURAL ȘI TRATAREA PIROLITICĂ A CĂRBUNELUI
# -- 05 01 deșeuri rezultate din rafinarea petrolului
05 01 02,nămoluri rezultate din desalinizare,true
05 01 03,nămoluri provenite din rezervor,true
05 01 04,nămoluri acide alchilice,true
05 01 05,scurgeri de petrol,true
05 01 06,nămoluri conținând hidrocarburi, provenite de la operațiunile de întreținere a instalațiilor și echipamentelor,true
05 01 07,gudroane acide,true
05 01 08,alte gudroane,true
05 01 09,nămoluri de la epurarea efluenților în incintă, cu conținut de substanțe periculoase,true
05 01 10,nămoluri de la epurarea efluenților în incintă, altele decât cele specificate la 05 01 09,false
05 01 11,deșeuri de la spălarea combustibililor cu baze,true
05 01 12,acizi cu conținut de uleiuri,true
05 01 13,nămoluri de la apa de alimentare a cazanului,false
05 01 14,deșeuri de la coloanele de răcire,false
05 01 15,argile de filtrare uzate,true
05 01 16,deșeuri cu conținut de sulf de la desulfurarea petrolului,false
05 01 17,Bitum,false
05 01 99,deșeuri nespecificate,false
# -- 05 06 deșeuri care provin de la tratarea pirolitică a cărbunelui
05 06 01,gudroane acide,true
05 06 03,alte gudroane,true
05 06 04,deșeuri de la coloanele de răcire,false
05 06 99,deșeuri nespecificate,false
# -- 05 07 deșeuri provenite din purificarea și transportul gazului natural
05 07 01,deșeuri cu conținut de mercur,true
05 07 02,deșeuri cu conținut de sulf,false
05 07 99,deșeuri nespecificate,false

# == 06 DEȘEURI REZULTATE DIN PROCESELE CHIMIEI ANORGANICE
# -- 06 01 deșeuri provenite de la fabricarea, formularea, distribuirea și utilizarea (FFDU) acizilor
06 01 01,acid sulfuric și acid sulfuros,true
